algorithm,trial,function,population,crossover_probability,mutation_probability,best_solution,value,recombination,c1,c2,w,time
differential_evolution,,rastrigin,10,,0.02,"[-2.98485561e+00 -1.98991219e+00  9.94958612e-01 -9.94958634e-01
  8.64267868e-09  1.98991224e+00  9.94958641e-01  9.94958640e-01
 -2.98485571e+00  1.98991225e+00  9.94958640e-01 -1.44406132e-09
  9.94958644e-01  9.94958624e-01  9.61670707e-11  9.94958638e-01
  9.94958643e-01  1.98991223e+00  9.94958645e-01  1.98991222e+00]",47.757949006679574,0.7,,,,0.1937732696533203
differential_evolution,,griewangk,10,,0.02,"[-6.28003851e+00  8.33396001e-07  2.16512319e-06 -1.17501818e-05
 -7.00730544e+00  7.67225668e+00 -4.79229290e-06 -1.24756139e-05
 -1.78087693e-05 -2.46641806e-05]",0.036931036138408424,0.7,,,,0.10955023765563965
differential_evolution,,sphere,10,,0.02,[-5.00000140e-09 -4.99999937e-09],5.0000007704265545e-17,0.8,,,,0.02709817886352539
differential_evolution,,rosenbrock,10,,0.02,[0.99999754 0.99999506],6.0780633226672715e-12,0.8,,,,0.02705073356628418
differential_evolution,,step,10,,0.02,[-5.0132375  -2.47237854 -3.35070651 -4.58712549 -4.04425217],-18.0,0.8,,,,0.032155752182006836
differential_evolution,,foxholes,10,,0.02,[ 0.05283283 -0.06095666],12.670505871217774,0.8,,,,0.03329348564147949
differential_evolution,,schwefel,10,,0.02,"[-302.52493153 -302.5249207   420.96889687  420.96876501  420.9689066
   65.54797585  420.9688094   420.96878273 -124.82923687 -302.52499798]",1006.7697502091746,0.8,,,,0.07006502151489258
differential_evolution,,rastrigin,10,,0.02,"[-2.98485570e+00 -1.98991223e+00  9.94958632e-01 -9.94958643e-01
 -5.75848403e-09  1.98991223e+00 -9.94958640e-01  9.94958637e-01
 -2.98485570e+00  1.98991223e+00  9.94958637e-01 -3.35517641e-09
  9.94958629e-01 -1.21003126e-08  9.94958628e-01  3.97978386e+00
 -1.98991224e+00  1.98991223e+00  9.94958631e-01  1.98991223e+00]",65.66710587550654,0.8,,,,0.13328146934509277
differential_evolution,,griewangk,10,,0.02,"[ 9.42006887e+00  4.43844283e+00  8.63525830e-07 -6.27064196e+00
  7.94171215e-06  6.45323215e-06  6.62215084e-06  8.85034814e+00
 -3.26121483e-06  4.48662775e-06]",0.056635851354875144,0.8,,,,0.07040810585021973
differential_evolution,,sphere,10,,0.02,[-2.87530259e-09 -6.29803758e-09],4.7932642334956927e-17,0.9,,,,0.026725053787231445
differential_evolution,,rosenbrock,10,,0.02,[0.99999757 0.99999518],5.960329209038073e-12,0.9,,,,0.025081872940063477
differential_evolution,,step,10,,0.02,[-5.00936759 -2.47274002 -3.34964771 -4.58666077 -4.0453405 ],-18.0,0.9,,,,0.033048391342163086
differential_evolution,,foxholes,10,,0.02,[ 0.06162224 -0.04779143],12.67050586588183,0.9,,,,0.028295516967773438
differential_evolution,,schwefel,10,,0.02,"[-302.52519387 -302.52501768  420.96868147  420.96873003  420.96856965
  420.96854101  420.96870199  203.81418413 -124.82934242    5.23918253]",1165.1607653208334,0.9,,,,0.07025289535522461
differential_evolution,,rastrigin,10,,0.02,"[-2.98485598e+00 -1.98991228e+00  9.94958461e-01 -9.94959484e-01
  2.42158443e-07  1.98991207e+00 -9.94959362e-01  3.44520778e-07
  4.97469160e+00  1.98991299e+00  9.94959187e-01  8.00539915e-07
  9.94958617e-01  7.02476653e-07  7.73323459e-07  3.97978313e+00
 -1.98991198e+00  1.98991172e+00  9.94958434e-01  1.98991268e+00]",79.59630945542808,0.9,,,,0.10506844520568848
differential_evolution,,griewangk,10,,0.02,"[-3.14002230e+00  4.43844309e+00 -1.90995804e-06 -1.09327793e-05
  1.67174228e-05 -1.48377379e-05 -8.28287813e+00  8.85036083e+00
 -1.47475838e-05  8.90387490e-07]",0.044268166982806334,0.9,,,,0.057152748107910156
differential_evolution,,sphere,10,,0.04,[-3.99078719e-09 -5.78724823e-09],4.941862447763871e-17,0.6,,,,0.04335474967956543
differential_evolution,,rosenbrock,10,,0.04,[0.99999861 0.9999975 ],9.8968418962784e-12,0.6,,,,0.03816723823547363
differential_evolution,,step,10,,0.04,[-5.08861772 -5.00659459 -3.19551243 -4.51560115 -4.26867928],-21.0,0.6,,,,0.050263404846191406
differential_evolution,,foxholes,10,,0.04,[-0.00393225 -0.06758403],12.670505895619558,0.6,,,,0.030560016632080078
differential_evolution,,schwefel,10,,0.04,"[-302.52492125 -302.52491775  420.96876521  420.96875973 -302.52498527
  420.96885542  420.96881934  420.96881219 -302.52493274  420.96874145]",473.75346573658453,0.6,,,,0.12846922874450684
differential_evolution,,rastrigin,10,,0.04,"[ 1.30130742e-08 -1.98991227e+00  9.94958856e-01 -9.94958612e-01
 -3.64748468e-08  1.98991218e+00 -9.94958605e-01  1.95730077e-07
 -9.94958601e-01  2.98485598e+00  9.94958601e-01 -1.04555076e-07
  1.98991240e+00 -9.94958741e-01 -9.94958586e-01 -1.98991223e+00
  9.94958611e-01 -9.94958723e-01  9.94958681e-01 -9.94958806e-01]",35.81847563178184,0.6,,,,0.22530078887939453
differential_evolution,,griewangk,10,,0.04,"[-6.28004218e+00  2.67191956e-07 -2.74818118e-06 -4.79152969e-06
 -7.00731582e+00 -7.67225799e+00 -1.65213742e-05  3.30491958e-05
  4.15849929e-05  1.65197912e-05]",0.03693103627210448,0.6,,,,0.1341254711151123
differential_evolution,,sphere,10,,0.04,[3.35196645e-09 1.39923352e-09],1.3193533556926221e-17,0.7,,,,0.042258262634277344
differential_evolution,,rosenbrock,10,,0.04,[0.99999719 0.99999439],7.934989586723225e-12,0.7,,,,0.034690141677856445
differential_evolution,,step,10,,0.04,[-5.01220746 -5.00686965 -3.40974261 -4.51352086 -4.26993384],-21.0,0.7,,,,0.04625988006591797
differential_evolution,,foxholes,10,,0.04,[-0.06212158  0.03882614],12.670505861613357,0.7,,,,0.030083656311035156
differential_evolution,,schwefel,10,,0.04,"[-302.52492173 -302.52490494  420.96887141  420.96885605  420.96881437
  420.96876336  420.9686652   203.81419891 -124.82932949  203.81422223]",967.2628490498678,0.7,,,,0.09492874145507812
