algorithm,trial,function,population,crossover_probability,mutation_probability,best_solution,value,recombination,c1,c2,w,time
particle_swarm_optimization,,rastrigin,10,,,"[ 3.20558508  0.02887386  1.03300686  1.06793118  0.91694733  1.04496925
 -1.12343366 -1.03023418  0.84988318 -1.05203288  0.18973926  1.99157078
  3.03024617  0.42969475  0.03226866 -0.87364372 -2.34348923 -0.25210693
  0.90676297  1.09561103]",116.05171202107488,,0.3,0.3,0.5,0.37252116203308105
particle_swarm_optimization,,griewangk,10,,,"[-87.9928031  146.92778884  -4.7754762  -66.96015612 157.8524826
  73.0469023   17.17951774  88.82552657 176.54353332  21.65964886]",26.978541331667866,,0.3,0.3,0.5,0.24019598960876465
particle_swarm_optimization,,sphere,10,,,[ 3.30353957e-113 -2.29807941e-111],5.28226030550497e-222,,0.3,0.3,0.6,0.15518641471862793
particle_swarm_optimization,,rosenbrock,10,,,[0.62173029 0.38589642],0.1431304990446746,,0.3,0.3,0.6,0.1569204330444336
particle_swarm_optimization,,step,10,,,[-4.05778126 -3.03657447  1.45486365 -5.01806395 -4.58990689],-15.0,,0.3,0.3,0.6,0.1764523983001709
particle_swarm_optimization,,quartic,10,,,"[ 0.18431419 -0.13323857 -0.16336811 -0.19652705  0.55824707 -0.01003551
  0.77614959  0.54515971  0.4051862   0.54360542  0.86908324  0.72099625
  0.34333822  0.38034505 -0.4543962   0.18785043  0.15431599 -0.08894279
  0.6295538   0.46640921 -0.15249388 -0.24540125  0.26223439  0.30465504
  0.46084197  0.049217    0.5732863  -0.37476009 -0.13326875  0.49585202]",6.231575122212462,,0.3,0.3,0.6,0.5323383808135986
particle_swarm_optimization,,foxholes,10,,,[-31.95392067 -15.97754266],5.92884512540065,,0.3,0.3,0.6,0.3740673065185547
particle_swarm_optimization,,schwefel,10,,,"[-128.60777957 -297.00790715  433.16775172  428.42272082   58.87818341
  179.78614653 -280.52061084 -305.82271473 -312.13045357 -130.92363068]",1819.661306296221,,0.3,0.3,0.6,0.22171330451965332
particle_swarm_optimization,,rastrigin,10,,,"[ 3.09155773  1.14577186  0.01941671  2.26724951  1.07054603  0.83225224
 -1.25357793 -2.135808    1.44659922 -0.10768944 -0.06706074  1.02282294
  3.01343069  2.07520866 -0.04536056  1.02715638 -0.97544402  0.82133566
  1.87669977 -0.011006  ]",116.04656794846946,,0.3,0.3,0.6,0.37506532669067383
particle_swarm_optimization,,griewangk,10,,,"[-32.32535238 197.33815577   4.65086815 -67.94050491  30.51000294
 118.58095185 -79.31512612 166.39916182 122.5047946  165.62911564]",35.008577707812016,,0.3,0.3,0.6,0.23848414421081543
particle_swarm_optimization,,sphere,10,,,[-8.85073137e-78  9.28579062e-79],7.919770494627194e-155,,0.3,0.3,0.7,0.15492939949035645
particle_swarm_optimization,,rosenbrock,10,,,[1.00000028 1.00000057],8.009430337124995e-14,,0.3,0.3,0.7,0.15714693069458008
particle_swarm_optimization,,step,10,,,[-4.06738523 -3.12699351  1.91019651 -5.01826016 -5.04096683],-16.0,,0.3,0.3,0.7,0.17748379707336426
particle_swarm_optimization,,quartic,10,,,"[-0.42664945  0.15638335 -0.10679675  0.42996078  0.01872026  0.2671703
  0.27878758 -0.30424826  0.6696479   0.46428389  0.24748929 -0.22022577
  0.5457981   0.54728557  0.47355554  0.15916355  0.58757433  0.52377685
  0.50648035  0.41441447 -0.25183736  0.32721082  0.19835845  0.4603291
  0.46012836  0.03404517  0.49969651 -0.70950954  0.07627134  0.76854635]",12.664633522664756,,0.3,0.3,0.7,0.5313868522644043
particle_swarm_optimization,,foxholes,10,,,[-0.02779068 -0.02780753],12.670505811135554,,0.3,0.3,0.7,0.3723459243774414
particle_swarm_optimization,,schwefel,10,,,"[-118.90859995  419.59542116  421.13157524  391.37549964 -130.29783617
  186.96349478 -177.45176444 -296.56569215 -302.67526416 -114.4907992 ]",2048.295661720229,,0.3,0.3,0.7,0.23977398872375488
particle_swarm_optimization,,rastrigin,10,,,"[-1.08143818e+00  9.07539725e-01 -3.47658854e-02  5.83947578e-04
 -1.00725054e+00  1.05099594e+00  1.11724368e+00 -1.22862608e+00
  1.11791338e+00 -1.89872175e+00 -4.24235060e-04  1.34914569e-02
 -9.88375911e-01 -9.07285825e-01  9.22207967e-01 -1.61675782e+00
 -1.01154856e+00 -1.92913976e+00  1.04104934e+00  5.40457686e-03]",63.97840759406877,,0.3,0.3,0.7,0.3753030300140381
particle_swarm_optimization,,griewangk,10,,,"[ -12.51038425    9.91330959   95.59088575 -121.3682079    37.96424768
   79.38654147  -79.73279751  -17.86404544   59.80547995   42.80618229]",11.986870107386318,,0.3,0.3,0.7,0.24162626266479492
particle_swarm_optimization,,sphere,10,,,[-3.81527001e-47 -2.79426363e-48],1.463436436334511e-93,,0.3,0.3,0.8,0.15219569206237793
particle_swarm_optimization,,rosenbrock,10,,,[0.87183582 0.75981649],0.016433964403802424,,0.3,0.3,0.8,0.1618642807006836
particle_swarm_optimization,,step,10,,,[-3.20002641 -3.02680065  1.04046049 -5.0614806  -5.08966267],-15.0,,0.3,0.3,0.8,0.17810630798339844
particle_swarm_optimization,,quartic,10,,,"[-0.39663687  0.35019518  0.08616163  0.8194408   0.66608074  0.14988802
 -0.19758875 -0.20961874  0.19559073 -0.14319737  0.13257226 -0.11457109
  0.35799111  0.55422627 -0.35611379  0.39190199  0.38075628 -0.24847775
 -0.21662196  0.73980251  0.00554034 -0.23025136  0.34117266 -0.24938977
  0.41303138  0.24395901  0.18975471  0.30267347  0.20485965  0.23243916]",-9.960065942990706,,0.3,0.3,0.8,0.5312321186065674
particle_swarm_optimization,,foxholes,10,,,[-3.1941210e+01  2.5344381e-02],10.763180666779325,,0.3,0.3,0.8,0.3757185935974121
particle_swarm_optimization,,schwefel,10,,,"[-107.0365984   421.07572661 -298.06032454  420.78245129 -126.98420391
  189.59411104 -133.82298851 -313.6168371  -303.89811672 -306.96902707]",1673.5958855843642,,0.3,0.3,0.8,0.25164198875427246
particle_swarm_optimization,,rastrigin,10,,,"[ 2.05644223 -0.03866415 -1.981303   -0.95678259  0.09388201  0.90286842
  1.05751094 -1.92719331  1.81043543  0.83414438  0.14847342  0.96890433
 -0.14556375  0.03003192 -0.97564093  0.8204676   1.00526784  2.08307782
 -0.05031034  2.00653943]",64.44263797102576,,0.3,0.3,0.8,0.37787723541259766
particle_swarm_optimization,,griewangk,10,,,"[  6.7008524   32.56454766  -4.16616055  21.28726459  21.14351226
  33.45178165  28.54309243 -56.74907628  -3.31411597 -16.22039929]",2.8635134289463813,,0.3,0.3,0.8,0.24296808242797852
particle_swarm_optimization,,sphere,10,,,[6.01839111e-23 3.40346439e-23],4.7804601453878786e-45,,0.3,0.3,0.9,0.15181970596313477
particle_swarm_optimization,,rosenbrock,10,,,[0.89825095 0.80652556],0.010363707177691889,,0.3,0.3,0.9,0.17667150497436523
particle_swarm_optimization,,step,10,,,[-4.0326172  -4.50834181 -2.03026879 -4.2269818  -3.42368207],-17.0,,0.3,0.3,0.9,0.17792749404907227
particle_swarm_optimization,,quartic,10,,,"[-0.2993204   0.35907777 -0.13737821  0.4005269   0.00576707 -0.16246123
  0.35250389 -0.48238612 -0.42490044 -0.26482786  0.13210924  0.40277968
 -0.33598375  0.31321179  0.24070223  0.04552387 -0.00708106 -0.22576687
 -0.15241974  0.24038312 -0.65653117 -0.03767938  0.48545503 -0.10412649
 -0.17690403  0.20649551  0.29287258 -0.3658102   0.20771802  0.32693301]",-15.348272733083956,,0.3,0.3,0.9,0.5385866165161133
particle_swarm_optimization,,foxholes,10,,,[-15.96837485  -0.0266916 ],11.718699562063064,,0.3,0.3,0.9,0.3746058940887451
particle_swarm_optimization,,schwefel,10,,,"[ 421.3415683   419.93684626  200.8372991   438.89191238   76.09489061
  147.17422564 -138.88885455  -29.68683537 -127.34950926 -294.53341573]",2250.987610627807,,0.3,0.3,0.9,0.24352025985717773
particle_swarm_optimization,,rastrigin,10,,,"[-1.98643182e+00  1.81866463e-03 -9.66286591e-01 -9.99448090e-01
 -2.70776821e-02  1.00127809e+00 -2.66458280e-04 -2.00178579e+00
  2.00098419e+00 -9.90263399e-01  9.27441288e-01  1.90491632e+00
  7.30617772e-02  9.67187730e-01 -1.71058097e+00  3.03720780e-02
 -9.87025892e-01  2.15813491e+00 -1.23408128e-01  3.60292137e-02]",54.62696474547354,,0.3,0.3,0.9,0.3806755542755127
particle_swarm_optimization,,griewangk,10,,,"[ 1.56984644e+01  1.77540008e+01  2.29775003e-03 -6.27450380e+00
 -6.99733632e+00  7.67311183e+00  8.29185428e+00  8.85481494e+00
  2.20505031e-03 -2.34576355e-01]",0.2171047880004766,,0.3,0.3,0.9,0.24547028541564941
particle_swarm_optimization,,sphere,10,,,[0.0511215  0.23969269],0.06006599091992097,,0.3,0.4,0.3,0.15053510665893555
particle_swarm_optimization,,rosenbrock,10,,,[0.63216302 0.39628663],0.1364219099091472,,0.3,0.4,0.3,0.15674352645874023
particle_swarm_optimization,,step,10,,,[-3.23357883 -1.65915403  1.61926324 -4.17103717 -4.06489143],-11.0,,0.3,0.4,0.3,0.16150927543640137
particle_swarm_optimization,,quartic,10,,,"[ 0.66619493  0.26550243 -0.05933576  0.83016589  0.35707458 -0.22731709
  0.32635269 -0.38629238  0.33163721  0.070115    0.72815328  0.03506591
  0.43192184  0.55243862  0.24502356  0.0469139   0.04318273  0.16028168
  0.2774702   0.25124975 -0.13961351  0.12933886  0.43514597  0.32218504
  0.31934734 -0.08716052  0.46010652  0.0133221   0.25243319  0.34031316]",-9.46733307776436,,0.3,0.4,0.3,0.5298287868499756
particle_swarm_optimization,,foxholes,10,,,[-31.8569992   15.89445538],15.503825367498756,,0.3,0.4,0.3,0.37556958198547363
particle_swarm_optimization,,schwefel,10,,,"[-130.60459103 -305.58960121  401.02558678  433.46710976   58.86162278
    6.90681191   17.21035786   37.06079013 -126.14259453 -294.65293702]",2547.4296002514207,,0.3,0.4,0.3,0.22334504127502441
particle_swarm_optimization,,rastrigin,10,,,"[ 2.03592529 -0.03399381 -0.00679078  1.90327176 -0.31229026  0.3153309
 -0.9287035  -2.82869501  0.879976   -0.11560913  0.08546726  2.83813703
  0.91421998  1.83504583 -0.41145242 -0.91540012 -1.91639287 -0.03544799
  0.53311499 -0.0262172 ]",130.27146641785072,,0.3,0.4,0.3,0.374981164932251
particle_swarm_optimization,,griewangk,10,,,"[-129.92971195  129.07497956   51.07232325   -1.59576524  161.60211402
   70.1865648    13.89544074   55.84147147  170.1040639    50.4707949 ]",26.467238926102542,,0.3,0.4,0.3,0.23998332023620605
particle_swarm_optimization,,sphere,10,,,[3.89035209e-06 4.76009035e-05],2.280980855252987e-09,,0.3,0.4,0.4,0.15153002738952637
particle_swarm_optimization,,rosenbrock,10,,,[0.85354929 0.72765928],0.021526507601885393,,0.3,0.4,0.4,0.1570901870727539
particle_swarm_optimization,,step,10,,,[-3.42830107 -2.00513851  1.60204074 -4.58597579 -4.58262088],-12.0,,0.3,0.4,0.4,0.16194891929626465
particle_swarm_optimization,,quartic,10,,,"[ 0.59735962  0.10524724 -0.29697669  0.5898844   0.55259022  0.0138922
  0.16988509 -0.15412993  0.38894056  0.51863157  0.47764518  0.42305401
  0.2772842   0.69977888 -0.09796567 -0.43138795 -0.37792839 -0.05981676
  0.32821951 -0.00842235 -0.20260658  0.31299307  0.55780064  0.32789686
  0.1081101  -0.33398169  0.43321104  0.31558551 -0.11179552  0.13674829]",-8.617250754602678,,0.3,0.4,0.4,0.5334451198577881
particle_swarm_optimization,,foxholes,10,,,[-31.93329165  15.98285327],15.503816805773006,,0.3,0.4,0.4,0.37663912773132324
particle_swarm_optimization,,schwefel,10,,,"[-126.53163393 -303.00260447  420.59012308  427.69695968   62.65385311
  -26.80593195   22.62539524   38.449706   -125.75580021 -312.97868149]",2464.3522286053017,,0.3,0.4,0.4,0.2227764129638672
particle_swarm_optimization,,rastrigin,10,,,"[ 0.01024618 -0.88346176  0.21240256  0.85258484 -2.01593273 -0.81576939
 -0.41616379 -1.76538048  1.92707045 -0.99203739 -0.38125342  2.93669334
  0.16689079  2.09024929  0.84074182 -1.08712769  0.09124051 -0.14373139
  0.13594996 -1.083587  ]",120.49099974426305,,0.3,0.4,0.4,0.37517261505126953
particle_swarm_optimization,,griewangk,10,,,"[-59.68381835 193.43501409  -1.74665006 -78.94888568 162.12244426
  68.26836464   2.36549548  76.96133709 158.62892665  32.56780733]",28.579926688034934,,0.3,0.4,0.4,0.23816919326782227
particle_swarm_optimization,,sphere,10,,,[-4.61642447e-07  7.00819486e-08],2.1802522839567903e-13,,0.3,0.4,0.5,0.1507701873779297
particle_swarm_optimization,,rosenbrock,10,,,[0.54850118 0.29797138],0.20468187016119582,,0.3,0.4,0.5,0.1574099063873291
particle_swarm_optimization,,step,10,,,[-3.48914261 -2.5344798   1.39825104 -4.67530164 -5.03537091],-13.0,,0.3,0.4,0.5,0.17435169219970703
particle_swarm_optimization,,quartic,10,,,"[ 0.50755393  0.24690071  0.03433191 -0.02332013 -0.18293676  0.50766986
  0.09060942  0.1067714   0.20461828  0.17317472  0.27224644  0.46347665
 -0.25989217  0.87256854  0.59226213  0.08049638  0.71341569  0.22350741
  0.60145662  0.35779947  0.151347    0.49352533  0.08458489 -0.36578797
  0.00866125  0.26451165  0.14019967  0.30397001  0.49687373  0.64890774]",7.437407529115993,,0.3,0.4,0.5,0.5336687564849854
particle_swarm_optimization,,foxholes,10,,,[-31.93168646  15.96563854],15.50381680261233,,0.3,0.4,0.5,0.37315988540649414
particle_swarm_optimization,,schwefel,10,,,"[-139.23255634 -312.9019051   418.73892865  436.04649058   52.13605228
  -27.30673849   11.82940278   61.75126149 -122.07864212 -318.1705221 ]",2481.6840064488547,,0.3,0.4,0.5,0.22417211532592773
particle_swarm_optimization,,rastrigin,10,,,"[ 3.00565775e+00 -2.43683795e-01  1.18251960e-03  1.65556715e+00
  9.18922590e-01  9.54561983e-01 -1.00118312e-01 -9.78440083e-01
  7.11490367e-01 -1.87958570e+00  5.92483427e-02  4.17651336e+00
  2.00810888e+00  2.00186145e+00 -3.47687132e-02 -1.18107027e+00
  3.88010910e-02 -1.88663379e+00  8.85103577e-01  3.19778274e-02]",111.53756323217536,,0.3,0.4,0.5,0.37625980377197266
particle_swarm_optimization,,griewangk,10,,,"[-49.54992352 243.6612815   12.96875607 -62.90651817 150.07662072
  38.86035939  -5.4033422   50.86985761  95.53896117  44.57378203]",26.927911743450366,,0.3,0.4,0.5,0.24044179916381836
particle_swarm_optimization,,sphere,10,,,[-2.1152162e-111 -3.1372179e-112],4.5725609210602576e-222,,0.3,0.4,0.6,0.15634751319885254
particle_swarm_optimization,,rosenbrock,10,,,[0.73673269 0.54204029],0.06936366522314873,,0.3,0.4,0.6,0.1581122875213623
particle_swarm_optimization,,step,10,,,[-4.03613254 -3.38802248  1.4443485  -5.02224129 -5.04858405],-16.0,,0.3,0.4,0.6,0.17798399925231934
particle_swarm_optimization,,quartic,10,,,"[ 0.54290598  0.08269877 -0.0492561   0.24668369  0.12419831  0.23233923
  0.66761631 -0.16977619  0.13634635  0.50669417  0.33866145  0.42024233
  0.08211411  0.97711715  0.5197764  -0.07273043  0.65687334  0.51677446
  0.72734204  0.4288246   0.10196592  0.12803429  0.64461154 -0.55470461
  0.21265388 -0.03882612 -0.0863736  -0.01550077  0.44137341  0.4592839 ]",14.926511983306261,,0.3,0.4,0.6,0.5334007740020752
particle_swarm_optimization,,foxholes,10,,,[ 0.02778006 -0.0277828 ],12.67050581113561,,0.3,0.4,0.6,0.37351036071777344
particle_swarm_optimization,,schwefel,10,,,"[-135.84484638  421.31773897  416.11061421  423.27964531   47.73076081
  -15.73014994   14.48264192    8.10323039 -143.73434423 -311.01151556]",2426.376248111927,,0.3,0.4,0.6,0.23756051063537598
particle_swarm_optimization,,rastrigin,10,,,"[ 3.85228986  1.16659661  1.00550358  2.03612546  0.0228671  -1.64659326
 -1.06983704 -1.08700854  1.04788076 -3.1286645   1.03763026  4.00006332
 -1.36932602  0.90470058 -1.01245224  0.08769717 -0.96825513 -2.92945604
  0.85323623  1.9717775 ]",129.20990974952366,,0.3,0.4,0.6,0.3748056888580322
particle_swarm_optimization,,griewangk,10,,,"[ 15.77169211 168.69354253 -34.18098878 -18.29829844 -34.0904597
  46.3349351  -73.72498568  52.57271726  18.36535527  57.00403574]",12.004626162539823,,0.3,0.4,0.6,0.240339994430542
particle_swarm_optimization,,sphere,10,,,[7.59545953e-78 1.45329807e-77],2.6889853226440162e-154,,0.3,0.4,0.7,0.1550149917602539
particle_swarm_optimization,,rosenbrock,10,,,[0.84145238 0.70781318],0.025142589659224005,,0.3,0.4,0.7,0.15964341163635254
particle_swarm_optimization,,step,10,,,[-4.04644751 -3.17634813  1.7347449  -5.06537786 -5.02919022],-16.0,,0.3,0.4,0.7,0.1798267364501953
particle_swarm_optimization,,quartic,10,,,"[-0.05449346  0.07140324  0.06770234  0.60728629  0.14335744  0.59126955
  0.38063902 -0.4115546   0.40120769  0.06883753 -0.04463047  0.65139077
  0.40204705 -0.09518132  0.09770348  0.53801568  0.4611986   0.11111999
  0.01301441  0.29117956 -0.14600681  0.55516005  0.08693145 -0.59272205
  0.0689483  -0.51688194  0.41005449  0.47479144  0.48079162  0.49742209]",-0.6499051979057208,,0.3,0.4,0.7,0.5355563163757324
particle_swarm_optimization,,foxholes,10,,,[-31.93168636  15.96562814],15.503816802612334,,0.3,0.4,0.7,0.374936580657959
particle_swarm_optimization,,schwefel,10,,,"[-127.55164681  420.6737052   420.97109872  428.24066374  -25.06851183
  194.02603793  -55.30808879 -119.05263867 -301.04020602 -301.95110803]",1934.977522064291,,0.3,0.4,0.7,0.2412726879119873
particle_swarm_optimization,,rastrigin,10,,,"[ 2.90511159 -2.07152884 -0.99951367  1.90064745 -2.9672393  -0.01569789
  1.18198243 -2.28919492  2.89312598  0.03888986  0.24529187  1.01716089
 -0.85879385  0.97652319  1.0469747  -0.04715451 -1.03943832  1.06736458
  1.07526442  0.83482559]",96.3666161499491,,0.3,0.4,0.7,0.3761909008026123
particle_swarm_optimization,,griewangk,10,,,"[-28.06664716  65.92266247  53.82296669  -0.48800182  -1.11518405
 -30.91166578  -9.77281593 -43.70921224  -9.74314685   9.82980224]",3.2353126077196617,,0.3,0.4,0.7,0.24246644973754883
particle_swarm_optimization,,sphere,10,,,[4.37776322e-48 7.16700760e-48],7.053080881426562e-95,,0.3,0.4,0.8,0.1544032096862793
