function,algorithm,population,value,time
sphere,genetic,500,8.996775101323666e-84,0.6563336849212646
rosenbrock,genetic,500,1.866161962614412e-20,0.6620891094207764
step,genetic,50,-25.0,3.493947505950928
quartic,genetic,500,-23.720322218121616,1.880824089050293
foxholes,genetic,500,0.9980038377944492,105.30503273010254
schwefel,genetic,200,67.85141548653246,0.3641085624694824
rastrigin,genetic,500,1.0202427090119546,1.377457857131958
griewangk,genetic,500,0.0,4.487011194229126
sphere,differential_evolution,50,0.0,0.1809391975402832
rosenbrock,differential_evolution,100,0.0,0.3706254959106445
step,differential_evolution,100,-25.0,0.4481322765350342
foxholes,differential_evolution,200,0.99800383779445,0.2521090507507324
schwefel,differential_evolution,500,0.0001272776416954,17.225683450698853
rastrigin,differential_evolution,500,17.90924791422216,84.84372663497925
griewangk,differential_evolution,10,4.129996344914844e-11,0.0628700256347656
sphere,particle_swarm_optimization,10,0.0,0.1547119617462158
rosenbrock,particle_swarm_optimization,50,0.0,0.2461581230163574
step,particle_swarm_optimization,100,-25.0,0.4936273097991943
quartic,particle_swarm_optimization,100,-29.166973150369262,2.893545389175415
foxholes,particle_swarm_optimization,10,0.9980038377944492,0.3711497783660888
schwefel,particle_swarm_optimization,200,118.44229606824229,1.6142609119415283
rastrigin,particle_swarm_optimization,500,1.4584554008933992e-08,7.394161939620972
griewangk,particle_swarm_optimization,100,0.0,1.1196017265319824
